WL(nm),Pan,Coastal,Blue,Green,Yellow,Red,RedEdge,NIR1,NIR2
650,0.936911,0.000002,0.000004,0,0.000044,0.965588,0.000005,0.000001,0.000001
652.5,0.932311,0.000002,0.000005,0,0.000023,0.957776,0.000006,0,0.000002
655,0.929417,0.000002,0.000006,0,0.000013,0.9555,0.000008,0.000001,0.000002
657.5,0.938274,0.000002,0.000006,0,0.000007,0.952831,0.000011,0.000001,0.000001
660,0.951232,0.000002,0.00001,0,0.000005,0.955801,0.000012,0.000001,0.000001
662.5,0.960012,0.000002,0.000016,0,0.000003,0.965253,0.000011,0.000001,0.000002
665,0.962781,0.000002,0.000018,0.000001,0.000002,0.970358,0.000012,0.000001,0
667.5,0.957501,0.000003,0.000021,0.000001,0.000001,0.976493,0.00001,0.000001,0
670,0.953865,0.000004,0.000036,0.000001,0.000001,0.987526,0.000011,0.000001,0
672.5,0.954752,0.000009,0.000046,0.000001,0.000001,0.996575,0.000008,0.000001,0
675,0.957376,0.000017,0.000034,0.000001,0.000001,0.999085,0.000008,0.000001,0
677.5,0.968155,0.000016,0.000024,0.000001,0.000001,0.992107,0.000009,0.000001,0.000001
680,0.977735,0.000008,0.000024,0.000001,0.000001,0.983694,0.00001,0.000001,0.000001
682.5,0.961332,0.000004,0.000025,0.000001,0.000001,0.978311,0.000015,0.000001,0
685,0.949217,0.000004,0.00002,0.000001,0.000001,0.88528,0.000033,0.000001,0
687.5,0.946955,0.000004,0.000013,0.000001,0.000001,0.632595,0.000079,0.000001,0.000001
690,0.953334,0.000004,0.000013,0.000001,0.000001,0.291823,0.000207,0.000001,0.000001
692.5,0.946656,0.000004,0.000014,0.000001,0.000001,0.083255,0.000759,0.000001,0
695,0.952193,0.000007,0.000012,0.000001,0.000001,0.020441,0.003128,0.000001,0
697.5,0.96247,0.000019,0.000009,0.000001,0.000001,0.005635,0.018837,0.000002,0
700,0.969595,0.000026,0.000008,0.000001,0.000001,0.001914,0.09961,0.000002,0
702.5,0.983968,0.000012,0.000009,0.000001,0.000001,0.000843,0.346835,0.000004,0
705,1,0.000008,0.00001,0.000001,0.000001,0.000404,0.622908,0.000005,0
707.5,0.99432,0.000008,0.000009,0.000001,0.000001,0.000204,0.853785,0.000006,0
710,0.994003,0.000009,0.000007,0.000001,0.000001,0.000102,0.952792,0.000005,0
712.5,0.980974,0.00001,0.000008,0.000001,0.000001,0.000057,0.978422,0.000004,0.000001
715,0.969563,0.000012,0.000011,0.000001,0.000001,0.000027,0.987634,0.000004,0.000001
717.5,0.968253,0.000029,0.000013,0.000001,0.000001,0.000016,0.989026,0.000004,0.000001
720,0.968397,0.000098,0.000012,0.000001,0.000001,0.000014,0.993901,0.000005,0.000001
722.5,0.973674,0.000094,0.000012,0.000001,0.000001,0.000017,0.999858,0.000006,0.000001
725,0.978855,0.000033,0.000015,0.000001,0.000002,0.000013,0.99928,0.000007,0.000001
727.5,0.966847,0.000024,0.000022,0.000001,0.000001,0.000014,0.989417,0.000011,0.000001
730,0.963741,0.00003,0.000031,0.000001,0.000001,0.000013,0.986813,0.000016,0.000001
732.5,0.952252,0.000044,0.000033,0.000001,0.000001,0.000012,0.980962,0.000028,0.000001
735,0.946654,0.000067,0.000031,0.000001,0.000001,0.000011,0.977116,0.000044,0.000001
737.5,0.94592,0.000153,0.000034,0.000001,0.000001,0.000006,0.944191,0.000071,0.000001
740,0.952938,0.000423,0.000045,0.000001,0.000001,0.000003,0.846399,0.000106,0.000001
742.5,0.954759,0.000256,0.000061,0.000001,0.000001,0.000003,0.615837,0.000165,0.000001
745,0.962583,0.000065,0.000065,0.000001,0.000001,0.000002,0.359763,0.000256,0.000001
747.5,0.962142,0.000041,0.000052,0.000001,0.000001,0.000001,0.138813,0.000412,0.000001
750,0.956637,0.000058,0.000041,0.000001,0.000001,0.000001,0.030544,0.000713,0.000001
752.5,0.950381,0.000265,0.000042,0.000001,0.000001,0,0.007092,0.001399,0.000001
755,0.940962,0.000711,0.000051,0.000001,0.000001,0.000001,0.002158,0.002886,0.000001
757.5,0.936224,0.000441,0.000064,0.000001,0.000001,0.000001,0.00073,0.005953,0.000001
760,0.924596,0.000089,0.000065,0.000001,0.000001,0.000003,0.00027,0.012687,0.000001
762.5,0.923379,0.00003,0.000049,0.000001,0.000001,0.000005,0.000119,0.027694,0.000001
